alpha_i,alpha_j,observations,correlation,turnover_sum,turnover_product,demeaned_correlation,turnover_model_contribution
alpha002,alpha001,862,-0.06627965063619806,0.060862761883394456,-0.030085036333987663,-0.18122311150041603,-0.008710639766833471
alpha003,alpha001,860,-0.04111277766579393,-0.25444780916513676,-0.0952064702464556,-0.15605623853001188,-0.026962522832397924
alpha003,alpha002,874,0.08962985476634062,-0.6066472145025471,0.06715002166218713,-0.025313606097877334,0.020077227125836455
alpha004,alpha001,861,-0.17945221160604996,-0.2071176923020235,-0.08543132992330982,-0.29439567247026793,-0.024222799404818696
alpha004,alpha002,875,0.12439879543015438,-0.5593170976394338,0.060255522971594255,0.009455334565936419,0.018036009537378977
alpha004,alpha003,874,0.2258179714527887,-0.874627668687965,0.1906833547180672,0.11087451058857074,0.055868694594385225
alpha005,alpha001,860,-0.2594639870891126,0.4357733987594641,0.04734566375709308,-0.3744074479533306,0.012991217806616235
alpha005,alpha002,874,0.23257202775286417,0.08357399342205382,-0.033393343316577666,0.11762856688864622,-0.009690112634105665
alpha005,alpha003,874,0.07651597370856514,-0.23173657762647742,-0.10567586861471569,-0.03842748715565282,-0.029995834747841482
alpha005,alpha004,874,0.3337048744420114,-0.18440646076336414,-0.09482580304873996,0.21876141357779344,-0.026947817050759278
alpha006,alpha001,860,-0.07919973179270369,-0.10240939391061024,-0.0638058115935299,-0.19414319265692165,-0.018161716162734334
alpha006,alpha002,874,0.11791169894441343,-0.45460879924802056,0.04500284087402632,0.0029682380801954733,0.013520229004823848
alpha006,alpha003,874,0.3590716756719916,-0.7699193702965518,0.14241503926118274,0.24412821480777364,0.04188385503974246
alpha006,alpha004,874,0.26350338045313154,-0.7225892534334385,0.1277928503563672,0.14855991958891357,0.037626294849387426
alpha006,alpha005,874,0.25936759567586104,-0.07969816237195088,-0.0708222303101736,0.14442413481164307,-0.020204695172327494
alpha007,alpha001,857,0.008655477321604382,0.2691426108398341,0.012931226565196746,-0.10628798354261358,0.003345725598351992
alpha007,alpha002,859,0.12145734109393376,-0.0830567944975762,-0.009120516092276175,0.006513880229715802,-0.0025037856688926107
alpha007,alpha003,859,0.05832649110199422,-0.39836736554610747,-0.02886259249720895,-0.05661696976222374,-0.007740627952208646
alpha007,alpha004,859,0.17269353118600173,-0.3510372486829942,-0.02589918159646195,0.05775007032178377,-0.006954544705970475
alpha007,alpha005,859,0.23080360828817909,0.29185384237849343,0.014353211457093444,0.11586014742396113,0.00372292556736136
alpha007,alpha006,859,0.09923358448932443,-0.24632895029158092,-0.019343235120580515,-0.01570987637489353,-0.005215494719137565
alpha008,alpha001,860,-0.22233486162908325,-0.014368059253093424,-0.04562253934420687,-0.3372783224933012,-0.013065407022950074
alpha008,alpha002,868,0.044629908791225074,-0.3665674645905037,0.03217800741185999,-0.07031355207299289,0.009723248715636098
alpha008,alpha003,868,0.11764116234593984,-0.6818780356390349,0.10182984229227994,0.0026977014817218814,0.030125055037478733
alpha008,alpha004,868,0.332086254752567,-0.6345479187759216,0.09137466004558913,0.217142793888349,0.027062614491256794
alpha008,alpha005,868,0.38921100193281477,0.008343172285565942,-0.05063943092447112,0.2742675410685968,-0.014534911028608467
alpha008,alpha006,868,0.2941016710300081,-0.5298396203845084,0.06824468668023077,0.17915821016579014,0.020287584979980053
alpha008,alpha007,859,0.10771704161007994,-0.15828761563406407,-0.013830832698355892,-0.007226419254138014,-0.00375325835173364
alpha009,alpha001,862,-0.1634612070568125,0.7338833086783172,0.10891462648763324,-0.27840466792103047,0.030247433474968794
alpha009,alpha002,876,0.0414138791647629,0.38168390334090685,-0.0768185135846465,-0.07352958169945506,-0.022546772024568236
alpha009,alpha003,874,-0.07574512388991249,0.06637333229237563,-0.2430982448145243,-0.19068858475413045,-0.06981139210013299
alpha009,alpha004,875,-0.020668709090898674,0.11370344915548891,-0.21813860237403707,-0.13561216995511663,-0.06271667280725264
alpha009,alpha005,874,0.25426069965155607,0.7565945402169765,0.12089144497357786,0.1393172387873381,0.03365181578461771
alpha009,alpha006,874,-0.06119937867696701,0.21841174754690218,-0.16292044823425011,-0.17614283954118498,-0.04702104317526265
alpha009,alpha007,859,0.06986621086869414,0.5899637522973465,0.03301832819934115,-0.045077249995523816,0.00867409030677093
alpha009,alpha008,868,-0.019636762512359504,0.306453082204419,-0.1164916545046597,-0.13458022337657746,-0.03382376843849937
alpha010,alpha001,862,-0.07204592434097322,0.7283030231152526,0.10776212406343803,-0.18698938520519118,0.02992441633275622
alpha010,alpha002,876,0.014667193234523949,0.3761036177778423,-0.07600564275191743,-0.10027626762969401,-0.02230610967689463
alpha010,alpha003,874,-0.07185178440476175,0.06079304672931107,-0.24052585095429146,-0.18679524526897973,-0.06906608920181995
alpha010,alpha004,875,-0.049478507464567105,0.10812316359242435,-0.21583032408163363,-0.16442196832878506,-0.06204711965673971
alpha010,alpha005,874,0.1840105392965866,0.751014254653912,0.11961220739190806,0.06906707843236863,0.033292450326041195
alpha010,alpha006,874,-0.0477489558137217,0.21283146198383762,-0.16119647214769334,-0.16269241667793966,-0.04651907100112182
alpha010,alpha007,859,0.05664281562623509,0.584383466734282,0.03266893799786132,-0.05830064523798287,0.008581410016058008
alpha010,alpha008,868,-0.04588603563734304,0.30087279664135447,-0.1152589742068452,-0.160829496501561,-0.03346270250626745
alpha010,alpha009,878,0.878768373251634,1.0491241645727651,0.2751575932758842,0.7638249123874161,0.07750160334500981
alpha011,alpha001,862,-0.034863769571798583,0.5423595466579394,0.06935901638042379,-0.14980723043601654,0.019161001145572232
alpha011,alpha002,876,0.11862624045590296,0.19016014132052908,-0.048919568600295206,0.0036827795916850037,-0.014286879644116093
alpha011,alpha003,874,0.001972095882191573,-0.12515042972800217,-0.15480983305816468,-0.11297136498202638,-0.04423147986868548
alpha011,alpha004,875,0.08551821606373101,-0.07782031286488889,-0.13891503265616503,-0.029425244800486944,-0.039736605423673826
alpha011,alpha005,874,0.24733755970473525,0.5650707781965987,0.07698609436196852,0.13239409884051728,0.021317854773318545
alpha011,alpha006,874,-0.034615525248813374,0.026887985526524383,-0.10375100573905381,-0.14955898611303134,-0.029792606003993097
alpha011,alpha007,859,0.3056175504179079,0.3984399902769687,0.021026732958519062,0.19067408955368992,0.005493163857420464
alpha011,alpha008,868,0.0881171325749489,0.1149293201840412,-0.0741842196363661,-0.026826328289269064,-0.021431444623358352
alpha011,alpha009,878,0.020831830575723968,0.8631806881154518,0.17709988722925663,-0.094111630288494,0.04962893246988101
alpha011,alpha010,879,-0.041137810737779924,0.8576004025523872,0.1752258685052463,-0.1560812716019979,0.04909898062028322
alpha012,alpha001,862,-0.12997796514153795,0.6934725896799032,0.10056855690341533,-0.2449214260057559,0.027908242260092236
alpha012,alpha002,876,0.14763904354287133,0.3412731843424929,-0.07093195196836583,0.03269558267865337,-0.02080396900930542
alpha012,alpha003,874,0.09103547860160145,0.025962613293961656,-0.22446975631437197,-0.023907982262616506,-0.06441413677116167
alpha012,alpha004,875,0.10638568129017335,0.07329273015707494,-0.2014227579266021,-0.008557779574044605,-0.05786797395231048
alpha012,alpha005,874,0.21904121312826733,0.7161838212185625,0.11162759819354326,0.10409775226404937,0.031049401194871023
alpha012,alpha006,874,0.1963543354428729,0.1780010285484882,-0.15043594140991265,0.08141087457865494,-0.043385914426925264
alpha012,alpha007,859,0.03070927955386106,0.5495530332989326,0.030488151366411035,-0.0842341813103569,0.00800292802620938
alpha012,alpha008,868,0.11359043601773461,0.26604236320600505,-0.10756496131541246,-0.00135302484648335,-0.0312090395393368
alpha012,alpha009,878,0.16195681585535757,1.0142937311374156,0.2567896867036728,0.04701335499113961,0.07228056937233132
alpha012,alpha010,879,0.11927271339825678,1.008713445574351,0.25407241404729625,0.004329252534038819,0.07150876781567862
alpha012,alpha011,880,0.06654515448564836,0.8227699691170378,0.16352881757737336,-0.048398306378569594,0.04579118348109539
alpha013,alpha001,862,-0.09821728370528277,0.09629697938105666,-0.022766768997308808,-0.21316074456950074,-0.006659515403522591
