alpha,sharpe,turnover,cents_per_share,daily_volatility,daily_return,annual_return,log_turnover,centered_log_turnover
alpha001,-0.04284188262398723,1.0856489739538917,-0.2656716909417179,0.008695729995527061,-0.000023467905079884036,-0.005913912080130777,0.08217794085876934,0.20653108361040237
alpha002,-0.5563236081569801,0.7633631089698544,-4.561329922132387,0.008044503167119191,-0.0002819203634802461,-0.07104393159702202,-0.27002146447864095,-0.14566832172700792
alpha003,0.365651466199498,0.5569209135800475,5.314752349654374,0.008950386239303344,0.0002061620983150409,0.05195284877539031,-0.5853320355271722,-0.46097889277553916
alpha004,0.1270112983045521,0.5839137948171423,1.8363442630829931,0.009680872236052662,0.00007745626899244141,0.019518979786095236,-0.5380019186640589,-0.4136487759124259
alpha005,0.755547124379564,1.1105875197826516,5.811217750464078,0.009069369766221273,0.00043165660973418143,0.10877746565301373,0.10488917239742872,0.22924231514906174
alpha006,-0.570342986756315,0.648370089250938,-6.24438218201705,0.009133421210505943,-0.0003281476677165714,-0.082693212264576,-0.4332936202726456,-0.3089404775210126
alpha007,0.24455374093474072,0.9401257693171704,1.8054645754270666,0.008376777994171606,0.00012904793097820043,0.03252007860650651,-0.061741615522201324,0.06261152722943171
alpha008,0.517009445536223,0.7080417021967991,7.010330407467653,0.009854382652090632,0.00032094279419186446,0.08087758413634985,-0.34525228561512883,-0.2208991428634958
alpha009,0.5049434175251298,1.4963055185277407,3.4668753919804156,0.009891162551378655,0.0003146225044598048,0.07928487112387081,0.4029990823162818,0.5273522250679148
alpha010,0.24229211769005254,1.487978960338115,1.6768237779229194,0.009678218674621064,0.00014771834931062824,0.03722502402627832,0.39741879675321723,0.5217719395048502
alpha011,0.33296012634628686,1.2354994734910165,1.8075769528965093,0.009556669537322674,0.0002004465223979742,0.0505125236442895,0.21147532029590393,0.335828463047537
alpha012,-0.40680165843501404,1.4370441973692167,-3.1801569723196703,0.009344855642568711,-0.00023947216538800542,-0.06034698567777737,0.3625883633178678,0.4869415060695008
alpha013,0.8876216846581486,0.7908972274857593,9.752041073285655,0.008970027467915625,0.000501558281964743,0.12639268705511525,-0.23458724698097874,-0.11023410422934571
alpha014,-0.13756584914444964,0.9999970511433786,-0.9370002737123054,0.008889387643890672,-0.00007703395720350485,-0.019412557215283222,-2.9488609693292976e-6,0.12435019389066371
alpha015,-0.17706509456233258,0.6443141905104695,-1.7515944897260967,0.009440794286068643,-0.00010530311535173759,-0.026536385068637876,-0.4395687983858859,-0.3152156556342529
alpha016,0.5780481027714489,0.7924504669055632,6.403620019323409,0.009291888942716577,0.0003383511992754835,0.08526450221742185,-0.2326252775114183,-0.10827213475978525
alpha017,-0.48440611692855545,1.617157239354485,-2.552210571233284,0.00979159751759983,-0.0002987878283818051,-0.0752945327522149,0.48066981727393865,0.6050229600255717
alpha018,-0.020918684919500753,1.3918456181905894,-0.1280761223406668,0.008995112695891292,-0.000011853339321414228,-0.0029870415089963856,0.3306306492893726,0.4549837920410056
alpha019,-0.09964967790594488,0.6442751678202306,-1.5830807041155228,0.01128898079138606,-0.0000708647669090869,-0.0178579212610899,-0.4396293649115963,-0.3152762221599633
alpha020,0.8055734003867929,1.5880643937225236,4.30678025167405,0.009644670043558429,0.0004894318430525338,0.12333682444923853,0.4625159122059072,0.5868690549575403
alpha021,0.9668512313842573,0.8487754866029655,7.722956109245227,0.008618837019204325,0.0005249380488047997,0.13228438829880954,-0.1639605721618824,-0.03960742941024936
alpha022,0.5352423529165274,0.9341271074415078,5.312323618211415,0.008725289163574863,0.0002941914383171138,0.07413624245591267,-0.06814276067480549,0.05621038207682755
alpha023,0.9310779745590576,1.0391668203215632,7.7060847528393355,0.009151928392393713,0.0005367825587174295,0.13526920479679225,0.03841925776750705,0.16277240051914008
alpha024,0.9815500926884837,0.638422950532251,16.271125322715477,0.009792374730465415,0.0006054805859323918,0.15258110765496274,-0.44875428341088003,-0.32440114065924697
alpha025,0.03916990301442357,1.488471507307852,0.2513160294710326,0.010178520872237725,0.00002511521483069228,0.006329034137334455,0.3977497594079545,0.5221029021595875
alpha026,0.04675105715578033,0.6290658582079139,0.524290792805783,0.008817549205990486,0.000025968033174497084,0.006543944359973266,-0.46351932472942703,-0.339166181977794
alpha027,0.24835800030296024,0.6376275345917537,2.278075840996224,0.008002832291183176,0.00012520497903476164,0.031551654716759935,-0.45000096769616676,-0.3256478249445337
alpha028,0.29075530027151886,1.4373579799858547,1.8954355253126718,0.00942958432966083,0.00017271096819394214,0.04352316398487342,0.36280669227709034,0.4871598350287234
alpha029,0.2636407247481962,1.1873497374462325,1.6942553372604758,0.009582552510507998,0.00015914515965293228,0.04010458023253894,0.17172371203280873,0.2960768547844418
alpha030,0.33216509976169417,0.9405885271220912,2.445107698955197,0.008967259234128826,0.00018763482831491376,0.047283976735358266,-0.061249506949266265,0.06310363580236678
alpha031,0.23025765070498475,0.7029811116422685,2.2138308577328525,0.008502941118347002,0.00012333404364232018,0.031080178997864687,-0.35242525575110845,-0.2280721129994754
alpha032,0.1625242607670447,0.5726467255235159,3.2284896213787655,0.009438975820184431,0.00009663685831934897,0.024352488296475943,-0.5574862872661444,-0.43313314451451135
alpha033,-0.32626715093685676,1.5757541064208669,-1.584150259900301,0.010722390214454468,-0.0002203761991205206,-0.055534802178371194,0.45473395541807354,0.5790870981697066
alpha034,0.36984439326237983,1.5900440341595012,1.772159906994724,0.009096800021020828,0.00021193730934660252,0.05340820195534384,0.46376171028859414,0.5881148530402271
alpha035,0.1180969138199379,1.2378672710463556,0.6833768069003909,0.009036346011687416,0.00006722504944225623,0.016940712459448573,0.21338995611276954,0.33774309886440257
alpha036,-0.10637095463504069,1.0574596202468076,-0.870021274411927,0.009300253587192204,-0.00006231858403070731,-0.015704283175738243,0.05586944704548694,0.18022258979711997
alpha037,-0.007484706234041635,1.1738554018991882,-0.06401184297649744,0.010432874407081402,-4.919018641138218e-6,-0.001239592697566831,0.16029354678375582,0.28464668953538885
alpha038,-0.26016394607542315,1.3718444580226392,-1.3715747899605755,0.0097975740052392,-0.00016057036455071363,-0.04046373186677984,0.3161561540888028,0.4405092968404358
alpha039,0.33289685946674974,0.7035529615112349,4.763891954213273,0.009337737888618983,0.00019581732194840753,0.049345965130998704,-0.3516121223739801,-0.22725897962234706
alpha040,0.10775383473298923,0.5494219166786226,2.006543896199874,0.010075759673979457,0.00006839278117201663,0.017234980855348192,-0.5988886140914698,-0.47453547133983676
alpha041,0.18840183759060675,1.4905740349806018,1.1535781045387987,0.009181571177833818,0.00010896872497921965,0.027460118694763353,0.39916130414065737,0.5235144468922904
alpha042,1.0021878350247035,0.9578897071593859,8.95988978844816,0.009244779086839208,0.0005836404640888825,0.1470773969503984,-0.043022635865150156,0.08133050688648288
alpha043,1.262264210478701,1.166771096007065,7.5109632701158215,0.008713210426694581,0.0006928324186524371,0.17459376950041416,0.15424018668459857,0.2785933294362316
alpha044,0.0827356979676486,0.9494819431100124,0.6122712844332167,0.009108851355771684,0.00004747404964906358,0.011963460511564022,-0.05183876617233049,0.07251437657930254
alpha045,0.01850977369787935,1.3550463493275915,0.15471053528079845,0.007993631604409747,9.320623559935973e-6,0.0023487971371038653,0.30383565989247135,0.4281888026441044
alpha046,0.2407859234359003,0.7583833594801286,2.205932043543989,0.008919260487048325,0.000135288122996659,0.03409260699515807,-0.27656626989580024,-0.1522131271441672
alpha047,1.0004978852162456,0.9078179375163714,8.934478908627876,0.009868005346908848,0.0006219354051151207,0.15672772208901042,-0.0967114298287329,0.02764171292290013
alpha048,-0.6368682456495427,1.361681886354811,-2.975605478245255,0.00742505963416546,-0.00029788543637732876,-0.07506712996708685,0.30872061683094676,0.43307375958257976
