alpha,days,annual_return,annual_volatility,sharpe,max_drawdown,mean_ic,ic_ir,mean_rank_ic,rank_ic_ir,mean_turnover,mean_coverage,mean_return_coverage,paper_turnover,cents_per_share
alpha001,883,-0.048247716200532205,0.045005050134587256,-1.0720511599531115,-0.20604719156929785,-0.00533708148768213,-0.9397761328051125,-0.008809364660895401,-1.307763097638644,0.5538727498888297,0.9993136296311228,0.999997737004995,1.114048179495175,-0.6470243823463232
alpha002,883,-0.0016694100834684358,0.021281119462579202,-0.07844559523308596,-0.04078595488069092,0.000679944627290006,0.2721517081671033,0.0027908712680398897,1.027280430638667,0.3427393943759794,0.9993684864937679,0.9999992449981124,0.6957828777992262,-0.03603889312393257
alpha003,883,0.0021564500305691313,0.024088594899332558,0.0895216196536595,-0.04352086130293109,0.0012679304414422307,0.4734892456896978,0.001800885693989661,0.6707232792341521,0.2751791906045471,0.9997319891192634,0.999997737004995,0.5622481733987325,0.058120125872176284
alpha004,883,0.04412932174728576,0.05915937333266458,0.7459396417054331,-0.04917110838179839,0.007848938205971077,1.0910132307793,0.010338066458463652,1.2133044985545864,0.47886043674195855,0.999761762066484,0.999997737004995,0.9661116722014023,0.7005602644763834
alpha005,883,0.04769035515673972,0.051224158109366896,0.9310129617927098,-0.04044952398043444,0.008205710948008696,1.3645832780909288,0.012498517923393902,1.7433619603962016,0.47545350765655253,0.9997319891192634,0.999997737004995,0.9595677258597554,1.0832532706450688
alpha006,883,-0.005190675252178518,0.03685417208337688,-0.14084362661669392,-0.06473855061523881,-0.0008012577847668653,-0.19141304472722567,0.0007024762770462784,0.1494208029316251,0.2762757550829742,0.9997319891192634,0.999997737004995,0.5642126794737473,-0.13711099238030408
alpha007,883,0.048702331266821934,0.031965117720455016,1.5236086941002098,-0.028078440513276903,0.009295128718690624,2.155088912845331,0.009724573160054014,2.405206445067298,0.4250336945383888,0.9989798207226654,0.999997737004995,0.8610855387988884,0.8478739061239161
alpha008,883,0.04122645921997534,0.054197817772813926,0.760666405293072,-0.07577735077521308,0.005331603756036112,0.823004357410605,0.007561907271419232,1.0095938033847773,0.3119570381625931,0.9995502794676929,0.999997737004995,0.6361840084976405,1.4949149557866233
alpha009,883,0.03445642631315952,0.05441667543115058,0.6331960936635077,-0.07124352419698299,0.0027905434143846936,0.6376085116227427,0.00984524162443677,1.3288085888645373,0.7117182934870121,0.9998510913021093,0.999997737004995,1.4299756242127832,0.5938376116661486
alpha010,883,0.016014609437044105,0.05033082453030688,0.31818690805275507,-0.08445562337214374,0.002407095930875359,0.41280133853606954,0.007786935923326303,1.1399886443439513,0.7098653152512835,0.9998808709726018,0.999997737004995,1.4263471061451867,0.28512183818176057
alpha011,883,0.04802450801832176,0.03549923756411565,1.3528320976354506,-0.040229653649814345,0.006831099716679869,1.6357730810942657,0.007275714625776674,1.5580393124871847,0.5670386315859484,0.9999106521954414,0.999997737004995,1.1426477782457771,0.5842867325751759
alpha012,883,-0.010376202062541365,0.029051119444666974,-0.35717047263203366,-0.07378847930157639,0.00015098662449481644,0.04953241167420931,0.0031694889786704756,0.7969655511620896,0.6794968542011707,0.9999702156746539,0.999997737004995,1.3665712595650876,-0.23762013927204523
alpha013,883,0.0030655426633758123,0.026393900738991047,0.11614587376420506,-0.04813103111821293,0.0010147530997228443,0.3455191974739493,0.0032798046356630286,1.1198354226489664,0.361329534061635,0.9998808709726018,0.999997737004995,0.7341355215726795,0.0716418111541016
alpha014,883,-0.0030700828644881877,0.039277576162171125,-0.07816375562005871,-0.06151572161872587,-0.0010106357252553835,-0.2458518414501241,0.0004712201465312338,0.10180378736211924,0.4747526855973064,0.9997319891192634,0.999997737004995,0.9542695679436968,-0.04728698522076984
alpha015,883,0.006231916612481262,0.02114419882229661,0.2947341095709756,-0.0288836534533089,0.0008820724239563298,0.3675140271907227,0.003357322348755151,1.3874648189202625,0.3827249407763453,0.9998808709726018,0.999997737004995,0.7755597498662206,0.12410881789728034
alpha016,883,0.003109153137377466,0.026057387550411485,0.11931944947905448,-0.047343076949338814,0.001521833893093263,0.5357304476706795,0.004052010341435481,1.432372094147724,0.3725662861621615,0.9998808709726018,0.999997737004995,0.7563301437061175,0.07049837003091285
alpha017,883,0.010086091361491247,0.049980595776890464,0.2018001427296862,-0.0748190315148165,0.001867416914863137,0.3584400646593831,0.006696364252104341,1.0012589924613873,0.789235086291998,0.9992997982528514,0.999997737004995,1.5830358614681916,0.1133853660982219
alpha018,883,0.03182421480571785,0.05093930760334323,0.6247476909880333,-0.08005391855029231,0.0036611002919448776,0.606268758720193,0.005818952848974207,0.8207259251505564,0.6377382341633392,0.9997319891192634,0.999997737004995,1.2810688517764672,0.5325160918290204
alpha019,883,0.03268972090402347,0.055425964871674775,0.589790741211425,-0.0523922121661371,0.008144832692739657,1.2818057675878123,0.01009874448669395,1.3137092326726039,0.27260084657629,0.9921861816887826,0.999997729443188,0.5565736260634053,0.9558582242759507
