alpha,sharpe,turnover,cents_per_share,daily_volatility,daily_return,annual_return,log_turnover,centered_log_turnover
alpha001,-0.9088943025896074,1.0226421824005638,-0.6145259004183583,0.002919993392554716,-0.00016718410299268224,-0.04213039395415593,0.022389652960234162,0.2658770550763299
alpha002,0.01097414462057249,0.6957699248850541,0.005044067569738662,0.0013420243057162386,9.277496309940627e-7,0.0002337929070105038,-0.36273624099114926,-0.1192488388750535
alpha003,0.2057050291987024,0.5625853957070996,0.13443599381364538,0.0015295177723159937,0.000019819795401682196,0.004994588441223914,-0.5752123418358313,-0.3317249397197355
alpha004,0.8224697773478434,0.9032861067347632,0.8088327883140449,0.003646881119910039,0.0001889475584347062,0.04761478472554597,-0.10171593551058704,0.1417714666055087
alpha005,0.8877117131352849,0.9590977782726517,1.034886334516231,0.0032254374281120916,0.00018036833702307552,0.045452820929815035,-0.04176225072192729,0.20172515139416847
alpha006,-0.0661938274238965,0.5644200626327593,-0.06465726164839049,0.0023286072211133693,-9.709871060556795e-6,-0.0024468875072603123,-0.5719565128018724,-0.32846911068577667
alpha007,1.3224938770101031,0.9119693036226336,1.421939225293886,0.004164855199786937,0.00034697110277128433,0.08743671789836366,-0.092148947782775,0.15133845433332077
alpha008,0.7649155767633121,0.6349873779231289,1.505531143807065,0.00340581778643702,0.0001641098482164197,0.04135568175053776,-0.4541501575734125,-0.21066275545731672
alpha009,0.5907074959968738,1.4300200661019902,0.5542116350174693,0.0034295577497196307,0.00012761752917097322,0.03215961735108525,0.35768847641251894,0.6011758785286148
alpha010,0.2729052417508904,1.4263318477680569,0.24470119045538133,0.003172381585712056,0.00005453772619987601,0.013743507002368755,0.3551060072386079,0.5985934093547036
alpha011,1.3385935264198991,1.1426766101251637,0.5802158274000362,0.002244888808037957,0.00018929680537277147,0.047702794953938414,0.13337341400607605,0.3768608161221718
alpha012,-0.4114329795183564,1.3664129193115837,-0.27369076270415665,0.0018309910271981312,-0.00004745533531698285,-0.01195874449987968,0.31218899900716546,0.5556764011232612
alpha013,0.13332011529140747,0.7338699358569604,0.08232374193207251,0.0016653220077585192,0.000013986003467974454,0.0035244728739295627,-0.3094234651741964,-0.06593606305810062
alpha014,-0.05849418937912234,0.9544039780437406,-0.03537634842549989,0.002472750932221281,-9.111561916386393e-6,-0.002296113602929371,-0.04666824009758187,0.1968191620185139
alpha015,0.34426592250249777,0.7756848885697901,0.1445814752233597,0.0013290498412887304,0.00002882272467997988,0.00726332661935493,-0.25400891269893094,-0.01052151058283518
alpha016,0.17371145204974,0.7564856713130873,0.10260196876534348,0.0016431592950701156,0.000017980751875781562,0.004531149472696954,-0.27907168669571264,-0.035584284579616876
alpha017,0.11414181324317846,1.5829536534323903,0.06460628283735093,0.0031723804239199072,0.00002281023493333544,0.005748179203200531,0.4592925027901682,0.702779904906264
alpha018,0.5568884964997256,1.2816746131725776,0.47641849737538017,0.0032137765175108248,0.00011274145869505943,0.02841084759115498,0.24816751440492776,0.49165491652102356
alpha019,0.5533225033905915,0.5564826580158309,0.8985236537936365,0.0034996099031173655,0.00012198254766584225,0.03073960201179225,-0.5861192713471941,-0.34263186923109834
alpha020,0.7414497518520685,1.5134229475286947,0.5383411237369248,0.0038376090211678995,0.00017924299010711354,0.04516923350699262,0.41437393806057626,0.657861340176672
alpha021,2.119563331891394,0.7989358136005793,1.185330451783629,0.0019056290183944351,0.00025443947148304176,0.06411874681372652,-0.22447466985881,0.019012732257285753
alpha022,0.6243612781020769,0.8338855243921836,0.5762851881683461,0.0018132629255971748,0.00007131755940340813,0.01797202496965885,-0.1816591469651758,0.06182825515091997
alpha023,-0.9343908105525672,1.1209816673426691,-2.907047009083578,0.009142326448194241,-0.000538127285089081,-0.13560807584244844,0.1142047901138969,0.35769219222999266
alpha024,1.0810543861248119,0.45963501434346604,2.2341918074517984,0.003244499294038982,0.00022095048376437456,0.055679521908622395,-0.7773225515241582,-0.5338351494080624
alpha025,0.4105574297538561,1.3694252266139586,0.3701642717938785,0.0035556981047361776,0.0000919599074911885,0.023173896687779503,0.31439110918985796,0.5578785113059537
alpha026,-0.3467115873051116,0.562184556856863,-0.29798623684905184,0.002027112875543102,-0.000044273720397614746,-0.011156977540198917,-0.5759250900138779,-0.33243768789778216
alpha027,0.15593877213789303,0.36672621208207745,0.08881611036254838,0.0008809594024573311,8.653857409551924e-6,0.002180772067207085,-1.0031397254611993,-0.7596523233451036
alpha028,0.5838480168089119,1.2919934932969868,0.3845594214347288,0.002744991915265392,0.00010095796980753283,0.025441408391498273,0.25618636919988563,0.4996737713159814
alpha029,0.5179581836502811,1.1790420571362794,0.3816804062982612,0.0035804219618012015,0.00011682307707710655,0.029439415423430853,0.16470229279032197,0.40818969490641777
alpha030,1.1684284311290156,0.8713485971065993,0.9359213230071364,0.002922278700900128,0.000215091613960785,0.05420308671811783,-0.13771315589962088,0.10577424621647488
alpha031,0.6891036841223123,0.6202867299049042,0.7565966323442179,0.00275982762879177,0.0001198026044366272,0.030190256318030056,-0.47757344025962106,-0.2340860381435253
alpha032,1.3869851513155047,0.400699256652339,3.5607362835451957,0.0028942864555999166,0.0002528791677422993,0.06372555027105943,-0.9145441164644467,-0.6710567143483509
alpha033,0.5931336136561473,1.5454705907465827,0.37466160330633475,0.004498041448814131,0.00016806439616054585,0.042352227832457554,0.43532845345173915,0.678815855567835
alpha034,0.5923226386039732,1.5389001816801982,0.2948733091146958,0.002939708697730656,0.00010968881852733101,0.027641582268887417,0.43106799354614417,0.6745553956622399
alpha035,1.1432093130520327,1.2190866343113644,0.9658962632513054,0.004341028610659861,0.00031262098817183727,0.078780489019303,0.1981019179584952,0.44158932007459095
alpha036,-0.03646268167047746,0.9344623667360078,-0.022161487858225956,0.002192067099262676,-5.035031354262115e-6,-0.0012688279012740532,-0.06778392391292662,0.17570347820316914
